Player,Club,Market Value (M),Archetype,Cluster,PC1,PC2,Goals,Assists,NPG,XG,XA,Progressive passes,Progressive carries,Passes completed,Passes attempted,Key passes,Crosses,Through balls,Switches,Shot creating Actions,Goal Creating Actions,Tackles,Interceptions,Touches,Aerials Won,Pass Completion %
Filip Kostić,Juventus,15.0,Explosive Dribbler,0,0.40937622624110453,0.78250820560251,1.0,6.0,1.0,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,195.0,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,29.0,16.0,974.439024390244,10.975609756097562,75.95065789263678
Yannick Carrasco,Al Shabab,12.0,Explosive Dribbler,0,-0.9471597036714156,-0.3350291406639717,2.0,4.0,2.0,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,66.0,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,5.0,3.0,974.439024390244,10.975609756097562,75.95065789263678
Raphinha,FC Barcelona,60.0,Goal-Scoring Inside Forward,2,8.22172490219933,0.062817679367141,18.0,9.0,16.0,19.2,12.7,135.0,94.0,1064.0,1497.0,91.0,215.0,11.0,15.0,163.0,22.0,36.0,11.0,1863.0,9.0,71.07548425445859
Bryan Mbeumo,Manchester United,48.72,Goal-Scoring Inside Forward,2,7.24606911792735,-1.0246318510513757,20.0,7.0,15.0,12.3,8.3,141.0,130.0,872.0,1319.0,70.0,202.0,13.0,9.0,144.0,20.0,49.0,14.0,1781.0,34.0,66.11068986648165
Matheus Cunha,Borussia Dortmund,48.72,Goal-Scoring Inside Forward,2,5.414680973453774,0.6724593986935393,15.0,6.0,15.0,8.6,7.7,144.0,112.0,811.0,1133.0,56.0,142.0,14.0,15.0,132.0,16.0,38.0,17.0,1561.0,13.0,71.57987637106807
Mohamed Salah,Liverpool,48.72,Goal-Scoring Inside Forward,2,9.181065170540341,-2.6839220887976567,29.0,18.0,20.0,25.2,14.2,144.0,155.0,892.0,1263.0,88.0,79.0,19.0,3.0,169.0,27.0,21.0,9.0,1695.0,9.0,70.62549479760452
Ritsu Doan,SC Freiburg,48.72,Goal-Scoring Inside Forward,2,3.2461101304094866,0.7897177897704748,10.0,7.0,10.0,6.6,3.7,130.0,64.0,783.0,1090.0,27.0,80.0,12.0,5.0,111.0,16.0,66.0,14.0,1537.0,16.0,71.83486231941755
Vinicius Júnior,Real Madrid,48.72,Goal-Scoring Inside Forward,2,3.4165662820347347,0.15588478993036384,11.0,8.0,9.0,10.4,8.0,85.0,169.0,673.0,901.0,58.0,56.0,15.0,16.0,135.0,18.0,21.0,3.0,1264.0,1.0,74.6947834909048
Ángel Di María,Rosario Central,48.72,Goal-Scoring Inside Forward,2,2.557339601042478,0.09888719175073354,8.0,5.0,3.0,8.9,5.2,160.0,70.0,684.0,970.0,45.0,133.0,19.0,21.0,90.0,12.0,16.0,8.0,1203.0,0.0,70.51546384482941
Marcus Rashford,Manchester United,70.0,,1,-4.425161405217346,-0.8259573673158006,4.0,1.0,4.0,1.7,2.1,21.0,20.0,253.0,343.0,15.0,27.0,6.0,5.0,29.0,1.0,7.0,4.0,440.0,5.0,73.76093272955995
Jack Grealish,Manchester City,55.0,,1,-4.502905146301794,1.5359348416919603,1.0,1.0,1.0,1.1,1.8,52.0,69.0,382.0,436.0,24.0,20.0,0.0,0.0,47.0,2.0,9.0,2.0,521.0,1.0,87.61467869813147
Antony,Manchester United,48.72,,1,-7.131863482991099,-0.06322341475364644,0.0,0.0,0.0,1.0,0.1,6.0,5.0,56.0,69.0,3.0,5.0,0.0,0.0,8.0,0.0,6.0,2.0,101.0,0.0,81.15941911363161
Leon Bailey,Aston Villa,48.72,,1,-4.168682079322567,-1.0505093689348286,1.0,2.0,1.0,1.7,1.5,35.0,58.0,277.0,390.0,16.0,34.0,5.0,1.0,38.0,4.0,7.0,3.0,545.0,6.0,71.025640843524
Pablo Sarabia,Al-Nassr,48.72,,1,-3.6328391613053213,-1.1898452734741913,3.0,2.0,3.0,2.9,1.8,60.0,15.0,308.0,445.0,15.0,47.0,5.0,2.0,28.0,5.0,16.0,4.0,552.0,5.0,69.21348299053149
Samuel Chukwueze,Villarreal,48.72,,1,-3.407405732905803,-0.1944460623167328,3.0,2.0,3.0,2.7,3.0,36.0,48.0,320.0,422.0,27.0,50.0,4.0,6.0,49.0,2.0,17.0,2.0,556.0,6.0,75.82938370656545
Thomas Lemar,Atlético Madrid,48.72,,1,-7.419595332850943,0.041150389715602975,0.0,0.0,0.0,0.3,0.2,8.0,1.0,57.0,68.0,2.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,78.0,0.0,83.82352817906576
Mykhailo Mudryk,Chelsea,30.0,,1,-6.996222885701142,-2.154263225232038,0.0,0.0,0.0,0.3,1.0,5.0,7.0,28.0,42.0,2.0,7.0,1.0,0.0,6.0,0.0,2.0,0.0,62.0,2.0,66.66666507936512
Ansu Fati,Brighton / Barcelona,25.0,,1,-6.928713177649515,0.00876684373096185,0.0,0.0,0.0,1.0,0.2,6.0,7.0,104.0,125.0,4.0,0.0,2.0,0.0,11.0,0.0,4.0,1.0,170.0,2.0,83.1999993344
Steven Bergwijn,Ajax / Al Ittihad,10.0,,1,-7.6464621631731085,-0.3811938727260051,0.0,0.0,0.0,0.1,0.0,2.0,1.0,13.0,16.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,81.24999492187531
