Name,Club,Position,Metric,Value
Gabriel Martinelli,Arsenal,CAM_Winger,Fouls committed,16
Gabriel Martinelli,Arsenal,CAM_Winger,Aerials Won,17
Jack Grealish,Everton,CAM_Winger,Goals,1
Jack Grealish,Everton,CAM_Winger,Assists,1
Jack Grealish,Everton,CAM_Winger,NPG,1
Jack Grealish,Everton,CAM_Winger,XG,1.1
Jack Grealish,Everton,CAM_Winger,XA,1.8
Jack Grealish,Everton,CAM_Winger,Progressive passes,52
Jack Grealish,Everton,CAM_Winger,Progressive carries,69
Jack Grealish,Everton,CAM_Winger,Passes completed,382
Jack Grealish,Everton,CAM_Winger,Passes attempted,436
Jack Grealish,Everton,CAM_Winger,Key passes,24
Jack Grealish,Everton,CAM_Winger,Through balls,0
Jack Grealish,Everton,CAM_Winger,Switches,0
Jack Grealish,Everton,CAM_Winger,Crosses,20
Jack Grealish,Everton,CAM_Winger,Corners,9
Jack Grealish,Everton,CAM_Winger,Shot creating Actions,47
Jack Grealish,Everton,CAM_Winger,SCA Take Ons,3
Jack Grealish,Everton,CAM_Winger,GCA Shots,0
Jack Grealish,Everton,CAM_Winger,Goal Creating Actions,2
Jack Grealish,Everton,CAM_Winger,Tackles,9
Jack Grealish,Everton,CAM_Winger,Dribblers tackles,NA
Jack Grealish,Everton,CAM_Winger,Shots blocked,2
Jack Grealish,Everton,CAM_Winger,Blocks,12
Jack Grealish,Everton,CAM_Winger,Interceptions,2
Jack Grealish,Everton,CAM_Winger,Passes Recieved,423
Jack Grealish,Everton,CAM_Winger,Offsides,0
Jack Grealish,Everton,CAM_Winger,Ball recoveries,26
Jack Grealish,Everton,CAM_Winger,Errors,1
Jack Grealish,Everton,CAM_Winger,Touches,521
Jack Grealish,Everton,CAM_Winger,Miscontrols,10
Jack Grealish,Everton,CAM_Winger,Dispossessed,16
Jack Grealish,Everton,CAM_Winger,Yellow Cards,3
Jack Grealish,Everton,CAM_Winger,Red Cards,0
Jack Grealish,Everton,CAM_Winger,Fouls committed,5
Jack Grealish,Everton,CAM_Winger,Aerials Won,1
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Goals,10
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Assists,4
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,NPG,10
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,XG,9.2
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,XA,4.6
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Progressive passes,89
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Progressive carries,146
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Passes completed,749
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Passes attempted,988
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Key passes,37
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Through balls,9
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Switches,1
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Crosses,75
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Corners,0
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Shot creating Actions,87
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,SCA Take Ons,6
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,GCA Shots,0
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Goal Creating Actions,10
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Tackles,45
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Dribblers tackles,NA
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Shots blocked,3
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Blocks,48
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Interceptions,14
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Passes Recieved,966
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Offsides,5
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Ball recoveries,99
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Errors,0
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Touches,1375
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Miscontrols,53
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Dispossessed,23
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Yellow Cards,1
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Red Cards,0
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Fouls committed,40
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Aerials Won,26
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Goals,5
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Assists,3
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,NPG,4
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,XG,4.1
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,XA,3.7
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Progressive passes,57
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Progressive carries,74
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Passes completed,352
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Passes attempted,461
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Key passes,28
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Through balls,7
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Switches,5
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Crosses,51
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Corners,30
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Shot creating Actions,57
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,SCA Take Ons,2
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,GCA Shots,0
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Goal Creating Actions,6
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Tackles,15
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Dribblers tackles,NA
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Shots blocked,0
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Blocks,13
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Interceptions,4
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Passes Recieved,471
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Offsides,0
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Ball recoveries,45
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Errors,0
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Touches,659
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Miscontrols,25
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Dispossessed,21
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Yellow Cards,1
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Red Cards,0
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Fouls committed,12
Khvicha Kvaratskhelia,Paris Saint-Germain,CAM_Winger,Aerials Won,4
Leandro Trossard,Arsenal,CAM_Winger,Goals,8
Leandro Trossard,Arsenal,CAM_Winger,Assists,7
Leandro Trossard,Arsenal,CAM_Winger,NPG,8
Leandro Trossard,Arsenal,CAM_Winger,XG,7.2
Leandro Trossard,Arsenal,CAM_Winger,XA,6.1
Leandro Trossard,Arsenal,CAM_Winger,Progressive passes,101
Leandro Trossard,Arsenal,CAM_Winger,Progressive carries,80
Leandro Trossard,Arsenal,CAM_Winger,Passes completed,711
Leandro Trossard,Arsenal,CAM_Winger,Passes attempted,954
Leandro Trossard,Arsenal,CAM_Winger,Key passes,41
Leandro Trossard,Arsenal,CAM_Winger,Through balls,7
Leandro Trossard,Arsenal,CAM_Winger,Switches,5
Leandro Trossard,Arsenal,CAM_Winger,Crosses,86
Leandro Trossard,Arsenal,CAM_Winger,Corners,10
Leandro Trossard,Arsenal,CAM_Winger,Shot creating Actions,93
Leandro Trossard,Arsenal,CAM_Winger,SCA Take Ons,7
Leandro Trossard,Arsenal,CAM_Winger,GCA Shots,0
Leandro Trossard,Arsenal,CAM_Winger,Goal Creating Actions,8
Leandro Trossard,Arsenal,CAM_Winger,Tackles,31
Leandro Trossard,Arsenal,CAM_Winger,Dribblers tackles,NA
Leandro Trossard,Arsenal,CAM_Winger,Shots blocked,0
Leandro Trossard,Arsenal,CAM_Winger,Blocks,32
Leandro Trossard,Arsenal,CAM_Winger,Interceptions,9
Leandro Trossard,Arsenal,CAM_Winger,Passes Recieved,956
Leandro Trossard,Arsenal,CAM_Winger,Offsides,6
Leandro Trossard,Arsenal,CAM_Winger,Ball recoveries,104
Leandro Trossard,Arsenal,CAM_Winger,Errors,0
Leandro Trossard,Arsenal,CAM_Winger,Touches,1278
Leandro Trossard,Arsenal,CAM_Winger,Miscontrols,66
Leandro Trossard,Arsenal,CAM_Winger,Dispossessed,52
Leandro Trossard,Arsenal,CAM_Winger,Yellow Cards,4
Leandro Trossard,Arsenal,CAM_Winger,Red Cards,1
Leandro Trossard,Arsenal,CAM_Winger,Fouls committed,27
Leandro Trossard,Arsenal,CAM_Winger,Aerials Won,6
Leroy Sané,Galatasaray,CAM_Winger,Goals,11
Leroy Sané,Galatasaray,CAM_Winger,Assists,5
Leroy Sané,Galatasaray,CAM_Winger,NPG,11
Leroy Sané,Galatasaray,CAM_Winger,XG,10.2
Leroy Sané,Galatasaray,CAM_Winger,XA,5.5
Leroy Sané,Galatasaray,CAM_Winger,Progressive passes,64
Leroy Sané,Galatasaray,CAM_Winger,Progressive carries,75
Leroy Sané,Galatasaray,CAM_Winger,Passes completed,750
Leroy Sané,Galatasaray,CAM_Winger,Passes attempted,909
Leroy Sané,Galatasaray,CAM_Winger,Key passes,36
Leroy Sané,Galatasaray,CAM_Winger,Through balls,5
Leroy Sané,Galatasaray,CAM_Winger,Switches,2
